iter	Passed	Remaining
0	28	5596
1	51	5121
2	74	4883
3	96	4727
4	119	4677
5	143	4623
6	166	4600
7	193	4632
8	217	4612
9	242	4598
10	268	4605
11	294	4613
12	319	4596
13	343	4557
14	367	4534
15	392	4515
16	415	4469
17	437	4425
18	463	4412
19	485	4371
20	508	4332
21	531	4299
22	554	4269
23	577	4232
24	601	4210
25	627	4201
26	652	4182
27	677	4160
28	701	4137
29	729	4135
30	757	4128
31	783	4115
32	809	4098
33	836	4082
34	860	4057
35	884	4030
36	907	3997
37	929	3961
38	952	3933
39	976	3907
40	998	3873
41	1025	3856
42	1050	3835
43	1076	3815
44	1101	3792
45	1130	3783
46	1157	3767
47	1183	3748
48	1208	3724
49	1237	3712
50	1265	3697
51	1294	3684
52	1327	3682
53	1358	3672
54	1386	3654
55	1413	3635
56	1440	3614
57	1468	3595
58	1496	3575
59	1521	3550
60	1548	3528
61	1574	3505
62	1608	3497
63	1636	3477
64	1663	3455
65	1690	3433
66	1720	3415
67	1752	3401
68	1789	3396
69	1826	3391
70	1864	3387
71	1895	3370
72	1926	3351
73	1957	3332
74	1989	3316
75	2025	3304
76	2054	3281
77	2086	3262
78	2117	3243
79	2144	3217
80	2173	3193
81	2201	3167
82	2234	3149
83	2264	3127
84	2294	3104
85	2325	3082
86	2353	3057
87	2386	3037
88	2416	3014
89	2447	2990
90	2477	2967
91	2510	2947
92	2544	2927
93	2579	2908
94	2611	2886
95	2644	2864
96	2672	2838
97	2700	2810
98	2731	2787
99	2755	2755
100	2782	2727
101	2811	2701
102	2840	2675
103	2874	2653
104	2906	2629
105	2936	2603
106	2968	2580
107	2996	2552
108	3028	2528
109	3056	2501
110	3091	2478
111	3122	2453
112	3151	2426
113	3177	2396
114	3205	2369
115	3230	2339
116	3259	2312
117	3284	2282
118	3313	2255
119	3342	2228
120	3368	2199
121	3395	2170
122	3423	2143
123	3453	2116
124	3482	2089
125	3514	2064
126	3547	2038
127	3578	2012
128	3603	1983
129	3633	1956
130	3663	1929
131	3691	1901
132	3738	1883
133	3771	1857
134	3799	1829
135	3829	1801
136	3857	1773
137	3885	1745
138	3919	1719
139	3945	1690
140	3973	1662
141	4001	1634
142	4029	1606
143	4060	1579
144	4093	1552
145	4122	1524
146	4156	1498
147	4188	1471
148	4217	1443
149	4249	1416
150	4279	1388
151	4307	1360
152	4338	1332
153	4369	1305
154	4399	1277
155	4426	1248
156	4463	1222
157	4490	1193
158	4525	1166
159	4554	1138
160	4583	1110
161	4615	1082
162	4643	1053
163	4673	1025
164	4703	997
165	4734	969
166	4761	940
167	4791	912
168	4818	883
169	4849	855
170	4874	826
171	4900	797
172	4932	769
173	4960	741
174	4991	713
175	5030	685
176	5060	657
177	5092	629
178	5126	601
179	5150	572
180	5179	543
181	5208	515
182	5235	486
183	5274	458
184	5304	430
185	5328	401
186	5354	372
187	5380	343
188	5407	314
189	5434	286
190	5463	257
191	5490	228
192	5519	200
193	5545	171
194	5576	142
195	5603	114
196	5632	85
197	5659	57
198	5691	28
199	5719	0
